candidate name,amount raised
"O'MALLEY, MARTIN JOSEPH",6244830.2
"DE  LA  FUENTE, ROQUE ROCKY",7239609.42
"WALKER, SCOTT",8332482.32
"CHRISTIE, CHRISTOPHER J",8457440.55
"FIORINA, CARLY",12079590.52
"PAUL, RAND",12255894.03
"KASICH, JOHN R",16556221.26
"BUSH, JEB",35224251.05
"RUBIO, MARCO",46837618.51
"TRUMP, DONALD J",49296493.8
"CARSON, BENJAMIN S SR MD",64101879.28
"CRUZ, RAFAEL EDWARD ""TED""",79060950.56
"SANDERS, BERNARD",185775339.26
"CLINTON, HILLARY RODHAM",186764494.05
